pollsterName,sponsors,population,partisan,demPre,repPre,countPre,marginPre,demPost,repPost,countPost,marginPost,demChange,repChange,marginChange
Beacon Research/Shaw & Company Research,FOX News,rv,,42.4,45.8,5,-3.4,41.0,42.5,2,-1.5,-1.4,-3.3,1.9
Big Village,,a,,38.4,37.0,12,1.4,41.2,36.9,5,4.3,2.8,-0.1,2.9
Big Village,,rv,,43.8,42.6,12,1.2,46.5,41.4,5,5.1,2.7,-1.2,3.9
Cor Services,Foundation for Government Accountability,lv,,42.0,43.0,1,-1.0,42.0,46.0,1,-4.0,0.0,3.0,-3.0
Cygnal,,lv,,45.1,47.6,5,-2.5,47.0,46.9,2,0.1,1.9,-0.7,2.6
Echelon Insights,,lv,,45.5,45.8,4,-0.3,48.0,44.0,2,4.0,2.5,-1.8,4.3
Echelon Insights,,rv,,45.8,43.8,6,2.0,49.5,42.0,2,7.5,3.7,-1.8,5.5
Emerson College,,rv,,41.5,47.2,4,-5.7,43.5,45.0,3,-1.5,2.0,-2.2,4.2
Harris Poll,Harvard CAPS,rv,,48.4,51.6,5,-3.2,50.0,50.0,2,0.0,1.6,-1.6,3.2
Hart Research Associates/Public Opinion Strategies,NBC News,rv,,46.5,46.0,2,0.5,45.0,47.0,1,-2.0,-1.5,1.0,-2.5
InsiderAdvantage,Center for American Greatness,lv,,40.3,49.3,3,-9.0,43.0,47.5,2,-4.5,2.7,-1.8,4.5
Ipsos,FiveThirtyEight,a,,27.0,29.0,2,-2.0,29.5,29.5,2,0.0,2.5,0.5,2.0
Ipsos,Reuters,a,,40.5,35.5,2,5.0,34.5,34.0,2,0.5,-6.0,-1.5,-4.5
McLaughlin & Associates,,lv,,43.8,47.8,5,-4.0,45.0,45.0,1,0.0,1.2,-2.8,4.0
Monmouth University,,a,,44.3,47.7,3,-3.4,50.0,43.0,1,7.0,5.7,-4.7,10.4
Monmouth University,,rv,,44.0,49.0,3,-5.0,49.0,46.0,1,3.0,5.0,-3.0,8.0
Morning Consult,Politico,rv,,42.8,42.0,24,0.8,45.4,42.0,7,3.4,2.6,0.0,2.6
NewsNation,,rv,,40.2,42.5,6,-2.3,43.0,43.8,2,-0.8,2.8,1.3,1.5
OnMessage,Senate Opportunity Fund,lv,REP,43.4,45.7,7,-2.3,43.0,46.3,3,-3.3,-0.4,0.6,-1.0
Pew Research Center,,rv,,43.0,43.0,1,0.0,44.0,42.0,1,2.0,1.0,-1.0,2.0
Quinnipiac University,,a,,41.7,44.5,6,-2.8,43.0,44.0,1,-1.0,1.3,-0.5,1.8
Quinnipiac University,,rv,,42.7,45.8,6,-3.1,45.0,44.0,1,1.0,2.3,-1.8,4.1
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,lv,,39.4,48.0,9,-8.6,41.0,46.9,8,-5.9,1.6,-1.1,2.7
Suffolk University,USA Today,rv,,39.4,38.4,2,1.0,44.3,40.1,1,4.2,4.9,1.7,3.2
The Bullfinch Group,,a,,40.5,40.5,2,0.0,44.0,42.0,1,2.0,3.5,1.5,2.0
The Bullfinch Group,,rv,,42.5,42.0,2,0.5,45.0,44.0,1,1.0,2.5,2.0,0.5
The Winston Group,Winning the Issues,rv,REP,44.0,45.0,5,-1.0,47.0,41.0,1,6.0,3.0,-4.0,7.0
Trafalgar Group,,lv,REP,40.5,51.0,3,-10.5,40.9,47.6,2,-6.7,0.4,-3.4,3.8
YouGov,Economist,rv,,43.2,40.5,24,2.7,43.3,39.8,9,3.5,0.1,-0.7,0.8
YouGov,Yahoo News,a,,36.9,33.9,7,3.0,38.0,32.3,3,5.7,1.1,-1.6,2.7
YouGov,Yahoo News,rv,,42.9,39.1,7,3.8,44.3,39.0,3,5.3,1.4,-0.1,1.5
Zogby Analytics,,lv,,43.7,41.9,1,1.8,44.8,44.3,1,0.5,1.1,2.4,-1.3
